EmployeeID,I would recommend my friends or Family to work at TheCompany,I feel engaged in my work.,I believe Leadership cares about the employees at TheCompany,My manager supports me in my role at TheCompany,"TheCompany cares about Diversity, Equity and Inclusion.",I believe there is room for me to grow at TheCompany,I work on interesting projects.,My manager motivates me to work hard.,I am motivated to work hard at TheCompany.,I believe I am recognized for the work I do.,I believe there are good career opportunities for me at TheCompany.,I believe TheCompany is in a great position in the market for the next few years to be succesful.,I plan on staying with TheCompany for at least 2 more years.,I believe I am fairly compensated for my work.,I believe there is little to not politics at TheCompany,I feel comfortable going to someone in leadership if there is an issue.,My values align with the culture at TheCompany,I know what TheCompany values are at TheCompany,I feel like I can take off my accrued Paid Time Off (PTO)/Vacation without feeling guilty,survey_quarter,survey_year
100128,3,4,4,1,4,4,4,4,1,3,2,4,3,4,4,4,2,2,2,Q2,2023
100131,3,3,2,2,2,3,4,1,2,2,4,3,3,4,3,3,2,4,2,Q2,2023
100132,2,4,2,2,4,2,2,4,4,3,3,3,2,2,4,1,4,3,3,Q2,2023
100134,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,4,3,2,2,Q2,2023
100137,3,2,4,1,2,3,4,1,4,2,3,3,2,4,2,4,4,4,3,Q2,2023
100138,1,3,1,1,4,4,2,3,3,3,3,1,2,1,4,4,4,1,3,Q2,2023
100149,3,3,3,4,3,3,2,2,1,4,4,3,2,3,1,2,2,2,2,Q2,2023
100152,4,2,4,2,2,4,3,2,3,3,4,3,1,1,2,3,2,4,4,Q2,2023
100155,4,4,3,2,2,4,2,3,4,1,4,4,4,4,4,4,1,1,3,Q2,2023
100157,4,3,3,2,2,1,4,1,3,2,3,4,4,3,2,4,1,3,4,Q2,2023
100162,4,1,4,2,2,4,2,4,4,3,3,2,4,4,2,3,2,4,2,Q2,2023
100171,4,2,2,4,3,2,4,2,3,2,4,2,2,4,3,4,2,2,2,Q2,2023
100172,2,2,3,1,4,2,1,4,2,3,4,2,1,3,1,4,2,4,3,Q2,2023
100177,3,4,4,1,4,3,1,1,1,3,4,2,3,4,2,4,2,3,1,Q2,2023
100181,3,2,3,2,2,2,3,4,2,4,3,3,2,4,4,4,4,4,4,Q2,2023
100182,3,4,4,3,2,3,4,4,2,3,2,1,4,3,3,3,4,3,4,Q2,2023
100189,4,3,4,4,3,4,4,4,3,4,2,2,4,4,2,4,3,3,4,Q2,2023
100191,3,2,2,3,3,4,4,2,3,2,2,2,1,3,4,2,3,2,4,Q2,2023
100194,4,4,2,2,2,2,3,4,4,2,4,4,4,4,3,4,3,2,2,Q2,2023
100203,4,4,3,3,3,4,4,4,4,2,3,4,3,2,2,4,3,2,4,Q2,2023
100204,4,2,3,4,5,4,3,4,2,1,4,3,4,4,4,2,3,2,4,Q2,2023
100205,3,1,3,4,3,3,3,3,3,2,3,2,3,3,1,2,2,4,4,Q2,2023
100206,2,3,2,2,3,1,4,1,1,2,2,2,4,4,2,4,3,4,4,Q2,2023
100208,2,3,3,3,3,4,1,3,4,4,2,5,3,2,2,2,4,3,4,Q2,2023
100211,4,4,4,3,4,2,1,4,3,3,4,4,3,4,3,4,3,3,4,Q2,2023
100212,3,4,4,4,3,4,2,3,3,4,2,1,3,3,4,3,4,4,3,Q2,2023
100213,3,4,2,2,2,4,4,3,2,3,2,3,4,2,4,3,3,4,2,Q2,2023
100214,3,2,1,4,2,4,2,3,3,1,4,4,2,4,2,2,4,2,3,Q2,2023
100215,1,3,1,4,1,4,4,3,4,1,4,2,4,2,4,3,3,3,3,Q2,2023
100218,2,4,4,4,2,2,3,1,3,2,4,2,3,2,3,2,1,3,4,Q2,2023
100219,2,4,3,2,4,4,4,2,2,3,4,4,4,3,2,4,1,3,2,Q2,2023
100220,3,4,4,3,3,4,3,4,4,4,4,2,3,4,2,3,4,4,3,Q2,2023
100221,2,4,4,4,4,3,2,3,4,4,4,3,2,3,3,2,4,4,4,Q2,2023
100223,2,1,3,2,3,4,3,4,3,3,2,3,2,4,3,3,3,4,4,Q2,2023
100224,4,2,4,2,2,4,4,3,3,1,3,3,3,1,2,3,4,3,4,Q2,2023
100227,3,1,4,4,2,3,3,2,2,3,2,5,4,2,2,4,3,3,3,Q2,2023
100228,2,4,4,3,4,4,1,1,3,2,2,2,3,3,1,1,3,3,3,Q2,2023
100229,2,2,1,4,3,4,4,3,4,1,4,4,2,3,3,3,5,2,3,Q2,2023
100231,3,4,2,2,2,4,4,4,4,3,4,1,4,2,4,2,2,4,3,Q2,2023
100232,4,4,3,4,2,4,3,4,2,3,1,1,4,1,4,4,4,4,4,Q2,2023
100235,1,3,4,2,2,2,1,3,3,2,3,1,4,1,3,4,1,3,4,Q2,2023
100237,3,4,3,4,3,3,3,2,4,2,4,3,4,3,4,3,3,2,4,Q2,2023
100239,2,2,4,4,1,3,3,1,4,4,3,3,2,3,2,3,4,4,3,Q2,2023
100240,1,2,1,3,2,4,4,3,4,3,4,4,2,1,3,3,4,4,2,Q2,2023
100243,2,4,2,4,2,2,1,3,3,4,3,3,3,3,2,2,4,4,3,Q2,2023
100246,3,3,3,4,4,2,4,4,2,4,3,3,2,4,3,3,2,3,3,Q2,2023
100248,2,2,1,3,4,3,4,4,2,3,4,1,2,4,2,3,3,4,3,Q2,2023
100254,4,1,1,4,4,4,4,4,4,3,4,4,1,1,4,4,3,1,2,Q2,2023
100255,3,3,3,1,3,2,4,3,4,5,2,3,4,4,2,2,3,3,3,Q2,2023
100257,4,2,4,4,1,4,4,1,4,4,1,2,1,2,3,4,1,2,2,Q2,2023
100261,3,4,2,4,1,1,1,4,4,4,2,4,3,3,3,3,4,5,1,Q2,2023
100263,4,4,3,4,4,4,3,4,4,4,3,2,4,2,1,2,4,4,3,Q2,2023
100265,4,4,4,4,4,1,3,2,3,3,3,3,4,2,2,2,3,2,2,Q2,2023
100266,5,2,1,2,3,4,1,3,4,2,3,3,3,2,4,1,3,3,4,Q2,2023
100267,2,2,3,2,4,3,1,3,4,3,3,4,2,3,4,4,4,2,4,Q2,2023
100268,4,1,4,3,3,2,2,4,4,3,1,4,3,3,2,2,4,4,4,Q2,2023
100269,3,4,4,4,1,3,4,3,3,4,4,3,3,3,4,3,4,3,2,Q2,2023
100274,3,2,4,2,2,3,2,3,4,1,4,4,4,2,4,3,3,3,3,Q2,2023
100277,1,4,3,4,3,4,4,3,2,1,4,4,3,4,4,3,1,4,3,Q2,2023
100282,1,3,4,1,2,4,2,3,4,4,4,3,4,2,4,3,2,4,4,Q2,2023
100284,2,3,1,2,2,4,4,2,3,3,4,2,3,1,4,3,2,2,4,Q2,2023
100285,5,4,1,2,2,4,3,3,2,2,4,3,3,4,4,3,1,2,1,Q2,2023
100287,2,4,2,4,4,3,2,4,3,4,4,3,3,2,4,1,4,2,1,Q2,2023
100298,3,3,4,3,4,2,3,4,4,2,4,4,2,2,4,4,1,4,3,Q2,2023
100300,4,4,4,2,2,1,3,3,4,4,1,3,5,3,3,4,3,1,1,Q2,2023
100307,5,3,4,3,4,3,2,2,2,4,2,4,4,3,3,4,1,3,4,Q2,2023
100318,4,3,4,3,3,1,4,3,1,2,3,4,4,1,4,1,2,2,4,Q2,2023
100326,3,4,3,3,3,3,4,1,1,2,4,3,4,4,3,4,3,3,2,Q2,2023
100329,2,4,3,4,4,4,3,3,3,3,3,2,1,3,3,1,2,4,3,Q2,2023
100330,3,4,3,3,4,3,2,2,4,4,1,2,3,2,4,3,3,1,4,Q2,2023
100332,2,4,1,1,1,3,3,2,2,4,4,3,3,3,2,1,4,4,2,Q2,2023
100339,2,3,4,4,2,1,3,2,1,4,2,4,3,1,3,3,4,4,3,Q2,2023
100341,4,3,2,3,3,1,3,4,4,4,3,3,2,4,4,4,4,3,4,Q2,2023
100344,3,3,3,3,4,4,3,4,4,3,4,4,2,2,3,1,3,4,3,Q2,2023
100351,1,3,2,4,3,2,3,2,4,3,1,4,3,4,2,2,3,3,1,Q2,2023
100354,4,4,4,4,1,2,4,2,3,3,3,2,3,3,2,2,3,4,3,Q2,2023
100358,1,4,3,2,1,3,2,4,1,4,2,4,3,4,2,4,4,4,4,Q2,2023
100361,4,4,2,4,2,4,4,3,3,3,2,4,4,1,2,4,3,2,4,Q2,2023
100363,4,4,3,4,3,3,3,3,4,2,1,2,3,3,4,3,2,2,3,Q2,2023
100364,4,4,2,4,4,2,3,4,4,3,2,5,1,4,4,3,1,2,3,Q2,2023
100366,4,4,4,4,4,4,4,2,3,3,2,4,1,4,4,4,2,2,2,Q2,2023
100368,4,4,3,3,4,2,4,4,3,4,2,3,4,2,2,4,2,2,3,Q2,2023
100378,2,3,3,2,3,3,2,4,1,4,3,4,3,3,1,3,4,1,3,Q2,2023
100382,3,4,4,4,2,4,2,4,4,4,2,1,4,2,2,3,4,2,2,Q2,2023
100392,3,4,4,4,3,2,1,2,3,4,4,2,2,3,4,5,4,2,3,Q2,2023
100393,1,2,4,3,4,5,1,4,4,3,1,2,2,4,2,4,2,1,4,Q2,2023
100396,2,4,1,1,3,2,4,2,1,1,4,3,2,3,4,1,3,2,2,Q2,2023
100399,3,2,2,4,4,3,2,1,4,2,3,4,2,3,3,2,1,3,2,Q2,2023
100400,2,4,4,2,3,2,2,4,3,3,5,4,5,3,1,3,4,4,2,Q2,2023
100402,3,3,4,3,4,4,3,3,2,1,3,4,4,4,4,2,4,3,4,Q2,2023
100403,2,4,4,4,2,2,1,1,4,2,2,2,2,2,4,4,4,4,4,Q2,2023
100409,4,2,2,4,2,2,3,3,4,2,3,4,3,4,1,2,1,3,3,Q2,2023
100410,2,3,4,4,3,1,2,3,2,4,4,3,3,3,4,3,2,1,3,Q2,2023
100415,1,3,4,3,3,2,3,4,4,3,3,4,2,4,2,4,1,4,4,Q2,2023
100416,2,2,3,1,3,4,3,1,2,4,4,2,3,2,4,4,3,4,1,Q2,2023
100417,1,5,3,2,3,4,3,4,2,4,2,3,2,2,4,1,4,2,4,Q2,2023
100418,4,2,4,4,2,4,4,4,3,3,4,4,3,4,2,2,4,2,2,Q2,2023
100419,3,1,3,1,3,2,3,2,4,3,3,3,1,4,4,2,4,2,4,Q2,2023
100428,4,4,1,4,3,3,4,4,3,1,2,3,1,2,2,1,2,4,4,Q2,2023
100429,4,2,3,3,3,4,4,3,4,3,1,3,1,3,3,4,1,2,1,Q2,2023
100432,3,4,3,4,2,2,4,1,4,3,4,4,3,1,4,3,4,3,2,Q2,2023
100435,3,4,3,2,2,2,4,3,2,3,4,1,3,2,2,2,4,2,3,Q2,2023
100442,3,3,2,2,4,4,1,4,1,2,2,3,4,2,4,2,4,4,2,Q2,2023
100445,5,1,4,4,4,3,3,4,4,3,1,3,3,3,4,4,3,3,4,Q2,2023
100454,3,2,3,3,2,3,4,2,3,2,4,4,3,4,4,2,4,1,3,Q2,2023
100458,2,3,2,3,1,1,3,4,2,4,2,4,2,3,4,3,2,4,4,Q2,2023
100461,1,2,2,1,4,2,4,3,2,3,4,3,2,4,4,4,4,4,3,Q2,2023
100465,1,2,3,2,4,2,4,4,1,2,3,3,4,2,4,3,4,3,2,Q2,2023
100466,2,4,3,4,2,2,1,3,3,4,2,4,3,3,4,2,2,3,2,Q2,2023
100469,2,2,2,1,1,3,4,2,2,3,4,2,2,2,4,3,4,3,2,Q2,2023
100472,2,3,3,3,1,2,4,4,2,4,2,2,3,2,4,3,4,3,3,Q2,2023
100474,4,2,4,1,2,4,3,3,3,2,4,1,4,3,2,3,3,4,4,Q2,2023
100476,3,3,1,4,2,3,3,3,1,3,4,4,1,4,3,2,4,4,3,Q2,2023
100479,2,3,3,2,2,3,4,4,4,2,4,2,3,2,1,3,2,4,4,Q2,2023
100481,4,3,4,2,2,2,4,4,3,2,4,4,3,3,2,4,1,3,2,Q2,2023
100483,4,3,2,1,4,4,4,3,4,4,2,4,4,3,3,3,4,3,4,Q2,2023
100485,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,2,4,1,3,Q2,2023
100486,3,2,2,2,4,4,3,4,3,3,4,3,4,4,3,2,4,4,4,Q2,2023
100489,2,3,2,2,3,2,4,2,3,2,3,2,4,4,1,3,4,4,1,Q2,2023
100492,4,4,3,4,3,2,3,3,4,4,4,2,1,2,2,4,2,3,4,Q2,2023
100493,3,3,4,2,3,3,2,4,2,3,2,3,4,4,2,2,4,4,3,Q2,2023
100496,1,4,3,4,1,1,2,4,3,1,4,2,2,4,3,4,4,3,3,Q2,2023
100497,3,3,2,2,4,1,3,4,1,4,3,3,4,4,3,2,1,2,2,Q2,2023
100499,1,4,3,4,1,2,3,4,1,3,3,2,4,3,3,1,4,1,4,Q2,2023
100503,3,4,4,3,3,4,2,1,2,4,1,3,2,2,4,2,2,2,1,Q2,2023
100505,4,4,2,2,3,2,1,4,4,3,3,3,3,4,2,1,4,4,4,Q2,2023
100506,4,2,3,2,1,2,1,4,4,4,3,4,2,1,2,3,3,4,1,Q2,2023
100509,2,1,4,3,3,4,2,4,4,2,3,3,1,1,4,2,4,4,4,Q2,2023
100511,4,2,2,3,4,3,3,3,2,2,2,2,1,4,2,4,3,2,3,Q2,2023
100512,3,4,2,3,4,3,3,4,3,4,2,3,2,2,3,4,3,3,3,Q2,2023
100515,4,4,2,2,3,3,2,3,2,3,3,4,3,2,2,2,2,4,3,Q2,2023
100516,4,3,3,3,3,2,4,4,3,1,1,4,4,3,4,4,4,2,2,Q2,2023
100519,4,2,3,3,4,4,3,2,4,2,4,2,5,4,1,4,2,1,2,Q2,2023
100520,2,4,2,4,4,4,4,4,5,3,2,4,2,4,4,3,2,2,3,Q2,2023
100521,4,4,2,3,2,4,2,4,4,3,3,4,2,3,4,3,4,2,4,Q2,2023
100523,3,2,4,2,2,3,2,4,3,4,2,2,2,2,2,3,4,3,2,Q2,2023
100524,4,2,4,3,4,2,1,3,2,4,4,2,3,4,2,4,4,3,4,Q2,2023
100527,3,1,2,2,3,2,3,2,4,3,4,2,4,4,3,3,4,1,1,Q2,2023
100528,3,3,4,2,2,4,3,4,3,3,2,4,4,4,3,3,3,4,4,Q2,2023
100530,2,2,4,2,4,3,1,2,2,4,3,4,1,3,1,2,3,3,2,Q2,2023
100532,1,4,2,4,2,3,2,2,3,5,2,3,3,4,4,2,2,3,4,Q2,2023
100537,4,4,3,3,1,2,1,4,3,1,2,4,4,3,3,2,2,2,4,Q2,2023
100538,4,4,1,2,4,4,4,5,2,3,4,2,4,4,1,2,4,4,4,Q2,2023
100540,2,4,3,4,4,3,4,2,4,4,4,1,3,4,5,2,4,3,3,Q2,2023
100542,4,3,2,4,2,4,2,4,3,2,2,1,3,2,4,1,4,4,4,Q2,2023
100552,4,4,3,4,4,4,4,4,2,2,2,3,1,2,4,3,4,3,4,Q2,2023
100556,4,2,4,2,4,2,4,4,4,3,2,3,2,4,2,3,3,3,3,Q2,2023
100559,3,4,4,3,4,2,4,2,4,4,3,4,2,2,4,2,1,3,3,Q2,2023
100561,2,4,3,3,2,2,2,3,3,3,4,3,3,3,2,1,1,3,2,Q2,2023
100562,3,3,2,4,3,4,2,2,4,1,5,2,3,2,3,4,4,4,4,Q2,2023
100565,3,4,2,4,2,4,4,4,3,3,1,3,4,3,2,2,4,4,3,Q2,2023
100566,2,4,3,4,2,4,2,2,4,3,3,3,4,3,4,4,3,3,4,Q2,2023
100567,4,4,2,2,4,2,3,3,3,3,2,3,3,3,3,2,2,2,4,Q2,2023
100568,3,4,2,4,3,3,3,2,4,4,4,4,2,3,2,2,3,2,3,Q2,2023
100570,4,1,4,3,4,3,3,4,1,2,2,4,4,2,1,2,1,4,2,Q2,2023
100572,4,4,4,2,3,1,4,4,2,4,2,2,2,3,2,2,4,2,2,Q2,2023
100576,4,3,3,4,4,4,3,4,3,4,4,3,3,1,4,3,4,4,4,Q2,2023
100578,2,2,2,4,1,4,3,2,4,4,3,2,4,3,3,4,3,3,2,Q2,2023
100585,4,2,1,1,2,3,3,4,4,3,3,1,4,3,1,4,3,4,4,Q2,2023
100587,3,4,4,3,2,1,4,2,1,4,3,3,2,4,3,4,2,2,4,Q2,2023
100588,2,2,2,2,4,5,4,4,1,4,3,3,4,3,3,3,4,3,3,Q2,2023
100594,3,3,3,3,3,4,4,3,4,2,2,2,3,4,4,3,3,1,3,Q2,2023
100597,2,1,4,4,2,2,3,3,3,4,4,2,3,1,2,3,4,4,1,Q2,2023
100598,2,4,4,1,3,4,4,2,2,4,3,4,1,3,4,4,4,1,4,Q2,2023
100599,1,1,4,4,4,2,2,3,3,4,2,4,3,4,1,2,3,3,1,Q2,2023
100602,1,3,4,4,4,1,2,3,4,3,2,1,4,2,4,2,3,2,4,Q2,2023
100604,3,3,3,3,4,3,3,2,3,4,3,2,4,1,3,3,3,4,3,Q2,2023
100605,2,4,3,4,4,4,4,4,4,2,2,3,2,4,3,4,3,3,4,Q2,2023
100607,4,3,4,3,4,3,5,2,2,2,4,2,2,3,4,4,4,4,1,Q2,2023
100610,2,4,2,3,2,4,2,3,2,2,1,3,4,3,4,3,2,4,3,Q2,2023
100618,2,4,4,2,4,4,2,4,2,4,4,4,4,3,2,2,3,2,3,Q2,2023
100620,3,4,4,3,4,4,3,3,3,4,4,4,3,1,4,3,2,2,4,Q2,2023
100622,3,2,2,3,1,3,3,3,4,3,4,3,2,3,3,4,2,4,2,Q2,2023
100623,2,3,2,4,2,2,3,1,1,2,3,3,3,4,2,1,2,4,4,Q2,2023
100627,2,2,3,3,3,4,4,3,3,4,4,4,2,2,3,3,4,3,2,Q2,2023
100628,2,4,3,3,4,2,1,3,2,3,4,3,3,3,1,2,1,2,1,Q2,2023
100629,2,2,2,4,2,1,1,2,4,3,4,2,3,4,4,3,3,3,4,Q2,2023
100630,3,4,4,2,3,4,4,3,4,2,4,1,1,4,3,4,2,2,2,Q2,2023
100631,3,4,3,3,4,4,2,3,4,4,4,4,3,4,2,1,5,1,4,Q2,2023
100632,1,2,3,3,4,3,2,4,3,4,1,3,1,3,1,2,4,4,2,Q2,2023
100636,3,1,3,3,1,3,2,3,2,2,2,4,4,4,1,4,4,4,3,Q2,2023
100638,4,1,2,2,4,1,4,3,4,3,3,4,2,4,3,4,4,4,3,Q2,2023
100639,2,2,1,3,1,1,4,4,3,2,4,2,4,4,3,4,3,2,3,Q2,2023
100640,2,5,2,4,3,1,1,2,4,2,3,4,3,2,4,4,4,4,2,Q2,2023
100645,4,3,4,4,3,3,4,4,3,4,4,2,3,3,2,4,1,4,3,Q2,2023
100647,1,2,1,3,4,3,2,5,3,4,4,4,4,4,4,4,4,2,2,Q2,2023
100649,2,2,2,4,2,4,2,4,1,4,4,3,4,4,3,4,1,3,3,Q2,2023
100653,2,4,4,1,3,3,2,2,2,1,3,4,4,4,3,2,4,4,4,Q2,2023
100655,2,3,3,3,3,3,3,4,1,4,4,4,4,4,4,4,3,4,2,Q2,2023
100662,2,2,3,4,4,4,3,3,3,2,1,2,3,2,1,3,4,4,4,Q2,2023
100665,3,3,4,4,2,2,3,2,3,2,2,3,4,4,4,2,4,4,2,Q2,2023
100666,2,4,3,4,3,4,3,3,4,4,3,2,2,3,5,4,3,3,2,Q2,2023
100667,2,2,3,2,4,4,4,4,4,3,4,3,3,4,2,3,3,3,5,Q2,2023
100670,3,2,4,4,2,4,3,4,1,3,3,2,2,4,4,4,3,4,2,Q2,2023
100671,3,2,1,1,1,3,3,2,4,2,4,4,1,2,1,1,4,4,3,Q2,2023
100676,1,3,2,4,4,2,3,2,2,3,2,3,4,2,3,1,4,4,2,Q2,2023
100677,4,1,4,4,4,4,4,3,1,4,4,1,2,2,4,2,4,4,2,Q2,2023
100686,2,2,4,2,3,4,2,4,4,4,3,4,2,4,4,3,2,3,3,Q2,2023
100688,3,3,2,2,2,2,4,4,1,3,3,2,2,3,4,2,2,3,3,Q2,2023
100690,4,4,3,3,2,3,2,4,4,3,4,4,2,3,3,4,2,4,4,Q2,2023
100691,3,1,3,2,5,4,3,3,4,3,4,4,4,2,2,3,4,1,3,Q2,2023
100694,4,2,3,1,4,1,3,1,4,3,3,4,4,4,3,3,3,3,4,Q2,2023
100695,4,3,2,2,4,2,1,4,4,3,3,2,3,4,2,4,2,1,1,Q2,2023
100696,3,1,1,3,4,1,2,3,1,4,4,4,4,4,4,2,3,2,3,Q2,2023
100698,4,1,1,2,2,4,4,2,2,2,4,4,3,3,3,3,2,2,2,Q2,2023
100705,4,4,4,2,3,3,3,2,1,5,4,4,2,3,2,4,4,3,4,Q2,2023
100706,4,3,2,1,1,1,4,4,2,2,4,4,4,2,3,4,3,4,4,Q2,2023
100707,3,4,3,4,3,2,2,3,3,1,4,1,4,3,2,4,3,2,3,Q2,2023
100708,2,3,3,4,3,2,3,2,2,2,2,3,2,3,3,4,4,3,2,Q2,2023
100715,4,2,2,4,2,2,2,4,3,4,4,2,2,4,3,4,3,4,1,Q2,2023
100718,4,4,4,2,3,3,3,4,2,3,4,1,1,4,3,4,3,3,3,Q2,2023
100720,3,2,4,1,2,2,2,2,4,3,3,2,3,3,3,4,2,2,4,Q2,2023
100722,4,3,1,3,2,4,3,4,2,4,4,4,4,2,3,3,4,4,3,Q2,2023
100723,4,3,4,3,2,2,3,4,3,3,3,4,3,3,2,2,1,3,3,Q2,2023
100724,4,4,3,2,3,3,4,2,4,4,4,3,2,2,4,4,3,1,2,Q2,2023
100730,3,4,4,2,4,4,3,2,4,1,4,2,4,1,2,3,4,2,3,Q2,2023
100732,1,3,2,2,4,3,3,2,4,3,3,4,3,4,2,3,2,4,2,Q2,2023
100733,4,3,1,4,4,1,3,4,4,4,3,3,3,3,2,3,2,5,2,Q2,2023
100734,3,4,4,2,1,3,4,1,4,3,2,4,1,2,2,2,2,3,2,Q2,2023
100735,4,3,4,3,4,2,1,2,4,3,4,4,1,4,2,4,3,4,4,Q2,2023
100737,4,4,2,4,2,5,3,1,1,2,3,3,2,1,3,4,3,4,1,Q2,2023
100738,3,2,2,2,2,3,4,3,2,3,4,2,2,3,2,4,4,2,1,Q2,2023
100740,3,4,4,2,4,3,4,4,4,4,4,3,3,3,2,1,2,4,2,Q2,2023
100741,1,4,3,3,2,2,4,1,4,3,3,4,5,3,3,4,3,2,3,Q2,2023
100744,3,2,2,3,4,2,4,2,4,4,3,4,4,4,4,4,3,1,2,Q2,2023
100745,2,2,2,2,2,1,4,4,2,4,4,4,3,3,3,3,2,2,2,Q2,2023
100750,2,4,3,4,3,4,3,4,3,3,4,3,3,4,3,1,4,1,2,Q2,2023
100751,4,4,3,4,3,4,2,4,4,3,4,3,2,4,4,2,3,3,2,Q2,2023
100752,2,4,4,2,3,1,4,1,1,1,4,2,2,4,3,4,3,2,2,Q2,2023
100760,2,1,2,2,4,2,2,3,4,3,1,3,1,4,2,4,1,3,2,Q2,2023
100761,4,1,3,3,3,4,3,2,3,2,3,5,4,4,4,3,4,4,2,Q2,2023
100762,2,3,2,2,1,1,3,4,3,4,5,3,2,4,2,4,2,4,4,Q2,2023
100763,1,3,1,5,2,3,2,4,4,4,2,4,3,3,4,4,4,3,4,Q2,2023
100765,2,4,2,4,3,4,3,1,3,4,4,3,4,4,4,3,3,4,3,Q2,2023
100766,4,4,1,3,2,3,2,4,3,2,4,3,2,2,3,3,2,2,4,Q2,2023
100771,4,4,4,2,3,4,3,4,2,2,4,1,1,3,2,2,5,1,4,Q2,2023
100772,4,4,1,2,4,4,4,3,2,3,5,3,2,3,4,4,3,3,2,Q2,2023
100774,3,1,4,2,2,2,4,3,2,4,3,3,4,2,4,2,3,3,2,Q2,2023
100775,3,4,2,3,1,2,4,4,1,4,3,2,4,4,1,1,3,3,2,Q2,2023
100777,2,4,4,2,3,3,3,1,4,3,3,3,3,3,4,4,2,4,1,Q2,2023
100779,4,3,4,4,2,4,2,2,4,2,3,4,2,3,2,2,1,2,4,Q2,2023
100782,4,1,4,1,2,4,2,4,2,3,4,4,3,3,3,4,3,4,3,Q2,2023
100784,4,4,4,4,4,4,4,3,3,4,3,2,3,3,2,4,5,3,4,Q2,2023
100786,1,2,3,4,4,4,3,2,2,4,3,3,2,4,2,2,5,4,2,Q2,2023
